"instance_index","explanation","justification"
1048,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1049,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1050,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1051,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1052,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1053,"NumInqLast6M is between 6 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 28 clients which match the conditions of this rule in the training dataset. Out of these 26 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  91 %."
1054,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1055,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1056,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1057,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1058,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1059,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1060,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1061,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1062,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1063,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1064,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1065,"AverageMInFile is between -9 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 143 clients which match the conditions of this rule in the training dataset. Out of these 128 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  89 %."
1066,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1067,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1068,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1069,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1070,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1071,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1072,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1073,"PercentTradesNeverDelq is between 72 (incl) to 99 (incl) THEN RiskPerformance is Bad","There were 32 clients which match the conditions of this rule in the training dataset. Out of these 30 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  92 %."
1074,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1075,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1076,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1077,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1078,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1079,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1080,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1081,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1082,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1083,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1084,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1085,"PercentTradesWBalance is between 88 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1898 clients which match the conditions of this rule in the training dataset. Out of these 1384 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1086,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1087,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1088,"NumSatisfactoryTrades is lower than 12 (incl) THEN RiskPerformance is Bad","There were 76 clients which match the conditions of this rule in the training dataset. Out of these 73 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
1089,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1090,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1091,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1092,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1093,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1094,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1095,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1096,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1097,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1098,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1099,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1100,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1101,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1102,"MSinceMostRecentInqexcl7days is between -7 (incl) to 0 (incl) THEN RiskPerformance is Bad","There were 133 clients which match the conditions of this rule in the training dataset. Out of these 116 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  87 %."
1103,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1104,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1105,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1106,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1107,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1108,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1109,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1110,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1111,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1112,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1113,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1114,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1115,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1116,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1117,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1118,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1119,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1120,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1121,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1122,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1123,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1124,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1125,"PercentTradesWBalance is between 88 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1898 clients which match the conditions of this rule in the training dataset. Out of these 1384 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1126,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1127,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1128,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1129,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1130,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1131,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1132,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1133,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1134,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1135,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1136,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1137,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1138,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1139,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1140,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1141,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1142,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1143,"ExternalRiskEstimate is between 43 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 145 clients which match the conditions of this rule in the training dataset. Out of these 138 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
1144,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1145,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1146,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1147,"MSinceOldestTradeOpen is lower than 97 (incl) THEN RiskPerformance is Bad","There were 95 clients which match the conditions of this rule in the training dataset. Out of these 82 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  86 %."
1148,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1149,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1150,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1151,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1152,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1153,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1154,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1155,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1156,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1157,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1158,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1159,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1160,"ExternalRiskEstimate is between 43 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 145 clients which match the conditions of this rule in the training dataset. Out of these 138 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
1161,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1162,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1163,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1164,"NumInqLast6M is between 6 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 182 clients which match the conditions of this rule in the training dataset. Out of these 149 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1165,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1166,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1167,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1168,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1169,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
1170,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
1171,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1172,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
1173,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1174,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1175,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1176,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1177,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1178,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1179,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
1180,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1181,"NumSatisfactoryTrades is lower than 12 (incl) THEN RiskPerformance is Bad","There were 76 clients which match the conditions of this rule in the training dataset. Out of these 73 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
1182,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
1183,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1184,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
1185,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1186,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1187,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1188,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1189,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
1190,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
